Country,Cost of living,Year
United States,2751.7861900000003,2016
Uruguay,2322.5253249999996,2016
Venezuela,1348.0965,2016
Vietnam,1339.957075,2016
Zimbabwe,1674.128,2016
Albania,1290.389,2017
Algeria,1304.46086,2017
Argentina,2162.854675,2017
Armenia,1275.168325,2017
Australia,3013.260195,2017
Austria,2763.594395,2017
Azerbaijan,1141.56055,2017
Bahrain,1913.346515,2017
Bangladesh,1167.321285,2017
Belarus,1273.33852,2017
Belgium,2784.55051,2017
Bolivia,1253.572765,2017
Bosnia And Herzegovina,1362.51583,2017
Brazil,1852.1718549999998,2017
Bulgaria,1403.6068799999998,2017
Cambodia,1221.0475000000001,2017
Canada,2475.2722249999997,2017
Chile,1873.9879449999999,2017
China,1549.73866,2017
Colombia,1322.476915,2017
Costa Rica,2042.9402049999999,2017
Croatia,1925.6724000000002,2017
Cyprus,2029.3381800000002,2017
Czech Republic,1704.495745,2017
Denmark,3200.941485,2017
Dominican Republic,1800.38771,2017
Ecuador,1621.752385,2017
Egypt,876.037765,2017
Estonia,1986.79546,2017
Finland,2852.327805,2017
France,2935.813895,2017
Georgia,1183.9662799999999,2017
Germany,2637.29462,2017
Greece,2208.15707,2017
Guatemala,1284.69555,2017
Hong Kong,2955.5366050000002,2017
Hungary,1662.769015,2017
Iceland,4741.983195,2017
India,1060.84051,2017
Indonesia,1398.387935,2017
Iran,1398.4748749999999,2017
Iraq,1595.5439299999998,2017
Ireland,2949.3601000000003,2017
Israel,3068.9454800000003,2017
Italy,2672.4658799999997,2017
Jamaica,648.975,2017
Japan,3300.4554799999996,2017
Jordan,2019.58457,2017
Kazakhstan,1398.811065,2017
Kenya,1472.2743699999999,2017
Kosovo (Disputed Territory),920.234335,2017
Kuwait,1834.3068399999997,2017
Latvia,1834.32237,2017
Lebanon,2328.03921,2017
Lithuania,1798.74308,2017
Luxembourg,2266.8165,2017
Macedonia,1239.8272,2017
Malaysia,1454.66211,2017
Malta,2258.0225,2017
Mauritius,1251.341655,2017
Mexico,1321.850535,2017
Moldova,1177.01458,2017
Montenegro,1479.533,2017
Morocco,1274.41516,2017
Nepal,1235.84019,2017
Netherlands,2756.305615,2017
New Zealand,3057.76449,2017
Nigeria,1436.1923499999998,2017
Norway,4014.070935,2017
Oman,1752.2019,2017
Pakistan,998.834875,2017
Panama,1903.665235,2017
Peru,1450.8155350000002,2017
Philippines,1408.962935,2017
Poland,1546.98994,2017
Portugal,1889.20433,2017
Puerto Rico,2449.414885,2017
Qatar,2342.364695,2017
Romania,1420.2913549999998,2017
Russia,1620.879425,2017
Saudi Arabia,1792.76651,2017
Serbia,1345.48931,2017
Singapore,3047.36206,2017
Slovakia,1763.812585,2017
Slovenia,2139.411415,2017
South Africa,1709.2640350000001,2017
South Korea,2969.4680749999998,2017
Spain,2188.83587,2017
Sri Lanka,1354.361845,2017
Sweden,2924.05813,2017
Switzerland,5032.008285,2017
Taiwan,2340.033875,2017
Tanzania,826.175,2017
Thailand,1749.765715,2017
Trinidad And Tobago,1348.2464999999997,2017
Tunisia,1025.1223650000002,2017
Turkey,1630.369675,2017
Ukraine,998.2454399999999,2017
United Arab Emirates,2506.67533,2017
United Kingdom,2656.63367,2017
United States,2780.97908,2017
Uruguay,2490.5185,2017
Venezuela,964.005,2017
Vietnam,1253.9175,2017
Zimbabwe,1147.0095000000001,2017
Albania,1433.7249649999999,2018
Algeria,1211.8230549999998,2018
Argentina,1845.922275,2018
Armenia,1285.2986850000002,2018
Australia,3118.820875,2018
